h approx_res analytical_res
4.89 0.994945 0.994946
4.9 0.99503 0.995031
4.91 0.995114 0.995115
4.92 0.995197 0.995198
4.93 0.995278 0.995279
4.94 0.995359 0.995359
4.95 0.995438 0.995438
4.96 0.995515 0.995516
4.97 0.995592 0.995592
4.98 0.995667 0.995668
4.99 0.995741 0.995742
5 0.995814 0.995815
5.01 0.995886 0.995887
5.02 0.995957 0.995957
5.03 0.996026 0.996027
5.04 0.996095 0.996095
5.05 0.996162 0.996163
5.06 0.996229 0.996229
5.07 0.996294 0.996295
5.08 0.996358 0.996359
5.09 0.996421 0.996422
5.1 0.996484 0.996484
5.11 0.996545 0.996546
5.12 0.996605 0.996606
5.13 0.996664 0.996665
5.14 0.996723 0.996723
5.15 0.99678 0.996781
5.16 0.996837 0.996837
5.17 0.996892 0.996893
5.18 0.996947 0.996948
5.19 0.997001 0.997001
5.2 0.997054 0.997054
5.21 0.997106 0.997106
5.22 0.997157 0.997158
5.23 0.997207 0.997208
5.24 0.997257 0.997258
5.25 0.997306 0.997306
5.26 0.997354 0.997354
5.27 0.997401 0.997402
5.28 0.997447 0.997448
5.29 0.997493 0.997494
5.3 0.997538 0.997539
5.31 0.997582 0.997583
5.32 0.997626 0.997626
5.33 0.997668 0.997669
5.34 0.99771 0.997711
5.35 0.997752 0.997752
5.36 0.997792 0.997793
5.37 0.997832 0.997833
5.38 0.997872 0.997872
5.39 0.99791 0.997911
5.4 0.997948 0.997949
5.41 0.997985 0.997986
5.42 0.998022 0.998023
5.43 0.998058 0.998059
5.44 0.998094 0.998094
5.45 0.998129 0.998129
5.46 0.998163 0.998164
5.47 0.998197 0.998197
5.48 0.99823 0.99823
5.49 0.998263 0.998263
5.5 0.998295 0.998295
5.51 0.998326 0.998327
5.52 0.998357 0.998358
5.53 0.998387 0.998388
5.54 0.998417 0.998418
5.55 0.998447 0.998447
5.56 0.998476 0.998476
5.57 0.998504 0.998505
5.58 0.998532 0.998532
5.59 0.998559 0.99856
5.6 0.998586 0.998587
5.61 0.998613 0.998613
5.62 0.998639 0.998639
5.63 0.998664 0.998665
5.64 0.99869 0.99869
5.65 0.998714 0.998715
5.66 0.998739 0.998739
5.67 0.998762 0.998763
5.68 0.998786 0.998786
5.69 0.998809 0.998809
5.7 0.998831 0.998832
5.71 0.998854 0.998854
5.72 0.998875 0.998876
5.73 0.998897 0.998897
5.74 0.998918 0.998918
5.75 0.998939 0.998939
5.76 0.998959 0.998959
5.77 0.998979 0.998979
5.78 0.998998 0.998999
5.79 0.999018 0.999018
5.8 0.999037 0.999037
5.81 0.999055 0.999056
5.82 0.999073 0.999074
5.83 0.999091 0.999092
5.84 0.999109 0.999109
5.85 0.999126 0.999127
5.86 0.999143 0.999144
5.87 0.99916 0.99916
5.88 0.999176 0.999177
5.89 0.999192 0.999193
5.9 0.999208 0.999208
5.91 0.999224 0.999224
5.92 0.999239 0.999239
5.93 0.999254 0.999254
5.94 0.999268 0.999269
5.95 0.999283 0.999283
5.96 0.999297 0.999297
5.97 0.999311 0.999311
5.98 0.999324 0.999325
5.99 0.999338 0.999338
6 0.999351 0.999351
6.01 0.999364 0.999364
6.02 0.999376 0.999377
6.03 0.999389 0.999389
6.04 0.999401 0.999401
6.05 0.999413 0.999413
6.06 0.999424 0.999425
6.07 0.999436 0.999436
6.08 0.999447 0.999448
6.09 0.999458 0.999459
6.1 0.999469 0.99947
6.11 0.99948 0.99948
6.12 0.99949 0.999491
